InsCode,Asset_Name,Industry
61298636307861167,وبرق  - قانون احکام دائمی برنامه های توسعه کشور,سرمايه گذاريها
55959112038778737,سخواف  - قانون احکام دائمی برنامه های توسعه کشور,سيمان، آهك و گچ
7503669593172728,ثاصفا  - لغو پذیرش شده,انبوه سازي، املاك و مستغلات
34721884030854211,سفاسي  - لغو پذیرش شده,ساير محصولات كاني غيرفلزي
40025799067544201,شرنگي  - لغو پذیرش شده,محصولات شيميايي
44052047028305231,پشاهن  - لغو پذیرش شده,لاستيك و پلاستيك
56429431740318486,شلرد  - قانون احکام دائمی برنامه های توسعه کشور,محصولات شيميايي
30507152381699953,ثجوان  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
24662567615903665,وسنا  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
44986797317463049,وثنو  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
51294484197536070,غشوكو  - لغو پذیرش شده,محصولات غذايي و آشاميدني به جز قند و شكر
44802346787824971,ساروج  - قانون احکام دائمی برنامه های توسعه کشور,سيمان، آهك و گچ
43291783149314349,وسرمد  - قانون احکام دائمی برنامه های توسعه کشور,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
36671655475498480,قشرين  - لغو پذیرش شده,قند و شكر
49244604018250364,شجم  - قانون احکام دائمی برنامه های توسعه کشور,محصولات شيميايي
56717416662584054,وكادو  - قانون احکام دائمی برنامه های توسعه کشور,سرمايه گذاريها
66210395067138534,شتولي  - لغو پذیرش شده/عدم اظهارنظر,محصولات شيميايي
2400322364771558,شستا,شرکتهاي چند رشته اي صنعتي
57086055330734195,كرازي,ساير محصولات كاني غيرفلزي
11403770140000603,ولملت,ساير واسطه گريهاي مالي
67988012428906654,دارو,مواد و محصولات دارويي
44153164692325703,شگل,محصولات شيميايي
20024911381434086,دكيمي,مواد و محصولات دارويي
58931793851445922,ومعادن,استخراج کانه هاي فلزي
48619517949257749,غنوش,محصولات غذايي و آشاميدني به جز قند و شكر
49502666250908008,افق,خرده فروشي،باستثناي وسايل نقليه موتوري
52232388263291380,واميد,شرکتهاي چند رشته اي صنعتي
18599703143458101,اميد,فعاليتهاي كمكي به نهادهاي مالي واسط
35158826900216508,غاذر,محصولات غذايي و آشاميدني به جز قند و شكر
43062880954780884,تپمپي,ماشين آلات و تجهيزات
25244329144808274,فارس,محصولات شيميايي
41227201752535311,سفار,سيمان، آهك و گچ
62346804681275278,كگاز,ساير محصولات كاني غيرفلزي
28672095850798501,غسالم,محصولات غذايي و آشاميدني به جز قند و شكر
68203878405672734,صنوين,صندوق سرمايه گذاري قابل معامله
49054891736433700,دعبيد,مواد و محصولات دارويي
57944184894703821,والبر,مواد و محصولات دارويي
48511238766369097,دانا,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
65999092673039059,مداران,رايانه و فعاليت‌هاي وابسته به آن
29247915161590165,دلقما,مواد و محصولات دارويي
4384288570322406,دلر,مواد و محصولات دارويي
46982154647719707,وصنا,سرمايه گذاريها
28809886765682162,حفاري,استخراج نفت گاز و خدمات جنبي جز اکتشاف
69090868458637360,ديران,مواد و محصولات دارويي
9698674686691945,كپارس,كاشي و سراميك
47996917271187218,وكار,بانكها و موسسات اعتباري
66701874099226162,فاسمين,فلزات اساسي
60350996279289099,كاوه,فلزات اساسي
7235435095059069,پكوير,لاستيك و پلاستيك
25286509736208688,فلامي,ساخت محصولات فلزي
3149396562827132,وايران,ساير واسطه گريهاي مالي
34032872653290886,غپاك,محصولات غذايي و آشاميدني به جز قند و شكر
59142194115401696,لوتوس,فعاليتهاي كمكي به نهادهاي مالي واسط
20453828618330936,بنيرو,ماشين آلات و دستگاه‌هاي برقي
55916539620839777,وسگيلا,سرمايه گذاريها
4563413583000719,ساراب,سيمان، آهك و گچ
27218386411183410,سدور,سيمان، آهك و گچ
71856634742001725,سپ,رايانه و فعاليت‌هاي وابسته به آن
30974710508383145,شسينا,محصولات شيميايي
41935584690956944,پتاير,لاستيك و پلاستيك
31366347648583654,ارمغان,صندوق سرمايه گذاري قابل معامله
30650426998863332,لبوتان,ماشين آلات و تجهيزات
29860265627578401,ما,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
61934586397353104,فولاد2,فلزات اساسي
12874072841236826,فسازان,فلزات اساسي
43362635835198978,هاي وب,اطلاعات و ارتباطات
40505767672724777,رانفور,رايانه و فعاليت‌هاي وابسته به آن
65414507129586385,لخزر,ماشين آلات و تجهيزات
